Team_Index,Team,Conference,W,L,Win_Pct,Sets,Aces,Assists,Block_Solos,Block_Assists,Digs,Kills,Errors,Attacks,Opp_Kills,Opp_Errors,Opp_Attacks
137,Liberty,CUSA,15,14,0.517,105,163,1240,40,382,1332,1337,596,3528,1241,514,3344
138,Lipscomb,ASUN,21,8,0.724,117,219,1458,77,302,1484,1553,604,3877,1291,539,3526
139,Little Rock,OVC,11,19,0.367,110,184,1007,77,265,1616,1103,589,3719,1371,608,3940
140,Long Beach St.,Big West,21,10,0.677,114,196,1390,51,385,1526,1523,596,3796,1248,599,3664
141,Louisiana,Sun Belt,19,13,0.594,119,156,1481,40,354,1864,1582,624,4271,1404,605,4140
142,Louisiana Tech,CUSA,8,21,0.276,97,155,913,46,277,1457,989,517,3393,1293,521,3515
143,Louisville,ACC,25,4,0.862,100,180,1253,67,326,1340,1363,446,3236,1126,565,3265
144,Loyola Chicago,Atlantic 10,19,12,0.613,107,186,1313,39,384,1633,1422,581,3721,1270,569,3729
145,Loyola Maryland,Patriot,11,16,0.407,93,147,1075,37,214,1411,1173,616,3372,1029,445,3088
146,Manhattan,MAAC,9,22,0.29,113,180,1135,36,248,1236,1237,688,3575,1407,493,3384
147,Marist,MAAC,14,16,0.467,116,163,1321,46,286,1551,1421,646,3789,1392,572,3751
148,Marquette,Big East,21,10,0.677,108,185,1285,55,361,1688,1380,484,3767,1304,587,3836
149,Marshall,Sun Belt,13,19,0.406,120,135,1342,80,357,1912,1440,620,4206,1627,642,4481
150,Maryland,Big Ten,17,15,0.531,114,160,1242,44,471,1437,1363,620,3701,1365,587,3682
151,McNeese,Southland,16,17,0.485,117,162,1499,70,298,1946,1581,613,4377,1457,565,4281
152,Memphis,AAC,11,20,0.355,115,180,1279,42,323,1711,1377,681,4069,1402,567,3943
153,Mercer,SoCon,16,12,0.571,103,185,1184,43,289,1521,1271,518,3546,1290,537,3578
154,Miami (FL),ACC,18,11,0.621,106,168,1339,29,411,1415,1450,565,3625,1278,548,3457
155,Miami (OH),MAC,5,25,0.167,104,121,1130,48,226,1353,1213,568,3462,1408,461,3454
156,Michigan,Big Ten,7,22,0.241,102,176,1095,43,277,1372,1184,599,3467,1255,442,3296
157,Michigan St.,Big Ten,17,14,0.548,116,163,1337,56,342,1561,1462,645,3852,1302,571,3718
158,Middle Tenn.,CUSA,20,10,0.667,105,192,1319,52,275,1183,1437,461,3203,1198,490,3042
159,Milwaukee,Horizon,21,12,0.636,127,166,1546,62,435,1827,1661,563,4308,1636,716,4499
160,Minnesota,Big Ten,16,12,0.571,107,157,1231,31,469,1564,1330,494,3675,1318,617,3769
161,Mississippi St.,SEC,13,15,0.464,100,113,1076,65,342,1380,1166,464,3402,1336,571,3514
